"case","event","startTime","completeTime"
"case_36","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_36","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_36","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_36","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_36","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_36","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_36","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_36","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_36","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_36","S4","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_36","S5","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_36","S6","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_36","S7","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_36","S8","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_36","S9","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_36","S13","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_36","S14","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_36","S24","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_86","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_86","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_86","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_86","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_86","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_86","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_86","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_86","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_86","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_86","S3","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_86","S1","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_86","S2","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_86","S3","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_86","S1","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_86","S2","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_86","S4","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_86","S5","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_86","S12","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_86","S13","1970/01/01 19:00:00.000","1970/01/01 19:00:00.000"
"case_86","S14","1970/01/01 20:00:00.000","1970/01/01 20:00:00.000"
"case_86","S24","1970/01/01 21:00:00.000","1970/01/01 21:00:00.000"
