;som_start;som_start_merge_som_enterid_dmi_1;som_retry_dmi_1_merge_som_enterid_dmi_1;som_start_som_retry_dmi_1_split_som_enterid_dmi_1;som_enterid_dmi_1;som_enterid_dmi_1_merge_som_retry_dmi_1_som_storeid_evc_1;som_retry_dmi_1_split_som_enterid_dmi_1;som_storeid_evc_1_split_som_enterid_dmi_1;som_validate_evc_1;som_storeid_evc_1;som_retry_dmi_2_merge_som_openconn_rtm_1;som_validate_evc_1_merge_som_openconn_rtm_1;som_retry_dmi_2_som_validate_evc_1_split_som_openconn_rtm_1;som_openconn_rtm_1;som_openconn_rtm_1_merge_som_retry_dmi_2_som_checkpos_rbc_1_som_giveup_evc_1;som_retry_dmi_2_split_som_openconn_rtm_1;som_checkpos_rbc_1_split_som_openconn_rtm_1;som_giveup_evc_1_split_som_openconn_rtm_1;som_checkpos_rbc_1_merge_som_storepos_rbc_1_som_checktrain_rbc_1;som_storepos_rbc_1_split_som_checkpos_rbc_1;som_checktrain_rbc_1_split_som_checkpos_rbc_1;som_retry_dmi_2;som_checkpos_rbc_1;som_giveup_evc_1;som_storepos_rbc_1;som_checktrain_rbc_1;som_storepos_rbc_1_merge_som_storevalacc_rbc_1;som_checktrain_rbc_1_merge_som_storevalacc_rbc_1;som_storepos_rbc_1_som_checktrain_rbc_1_split_som_storevalacc_rbc_1;som_storevalacc_rbc_1;som_storeacc_evc_1;som_storeacc_evc_1_merge_som_driversel_dmi_1;som_giveup_evc_1_merge_som_driversel_dmi_1;som_storeacc_evc_1_som_giveup_evc_1_split_som_driversel_dmi_1;som_driversel_dmi_1;som_driversel_dmi_1_merge_som_inserttraindata_dmi_1_som_NLSHproc_evc_1;som_inserttraindata_dmi_1_split_som_driversel_dmi_1;som_NLSHproc_evc_1_split_som_driversel_dmi_1;som_inserttraindata_dmi_1;som_NLSHproc_evc_1;som_checkrbcsess_rtm_1;som_chmod_evc_1;som_selstart_dmi_1;som_selstart_dmi_1_merge_som_sendMAreq_rtm_1_som_checklev_evc_1;som_sendMAreq_rtm_1_split_som_selstart_dmi_1;som_checklev_evc_1_split_som_selstart_dmi_1;som_sendMAreq_rtm_1;som_checklev_evc_1;som_checktrainroute_rbc_1;som_checkval_rbc_1;som_checkval_rbc_1_merge_som_grantFS_rbc_1_som_grantOS_rbc_1_som_grantSR_rbc_1;som_grantFS_rbc_1_split_som_checkval_rbc_1;som_grantOS_rbc_1_split_som_checkval_rbc_1;som_grantSR_rbc_1_split_som_checkval_rbc_1;som_grantFS_rbc_1;som_grantOS_rbc_1;som_grantSR_rbc_1;som_grantFS_rbc_1_merge_som_awaitack_dmi_1;som_grantOS_rbc_1_merge_som_awaitack_dmi_1;som_grantSR_rbc_1_merge_som_awaitack_dmi_1;som_grantFS_rbc_1_som_grantOS_rbc_1_som_grantSR_rbc_1_split_som_awaitack_dmi_1;som_awaitack_dmi_1;som_checklev_evc_1_merge_som_grantUN_evc_1_som_grantSR_evc_1_som_grantSN_evc_1;som_grantUN_evc_1_split_som_checklev_evc_1;som_grantSR_evc_1_split_som_checklev_evc_1;som_grantSN_evc_1_split_som_checklev_evc_1;som_grantUN_evc_1_merge_som_awaitack_dmi_2;som_grantSR_evc_1_merge_som_awaitack_dmi_2;som_grantSN_evc_1_merge_som_awaitack_dmi_2;som_grantUN_evc_1_som_grantSR_evc_1_som_grantSN_evc_1_split_som_awaitack_dmi_2;som_awaitack_dmi_2;som_awaitack_dmi_1_merge_som_chmod_evc_2;som_awaitack_dmi_2_merge_som_chmod_evc_2;som_awaitack_dmi_1_som_awaitack_dmi_2_split_som_chmod_evc_2;som_chmod_evc_2;som_chmod_evc_2_merge_som_end;som_chmod_evc_1_merge_som_end;som_chmod_evc_2_som_chmod_evc_1_split_som_end;som_retry_dmi_1;som_grantSR_evc_1;som_grantSN_evc_1;som_grantUN_evc_1;som_end
p1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
p8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
